,Recommended,Review,count_exc,Polarity
6009,1,full high got print true,0,0.2715625
6010,1,great flattering full great,1,0.558333333
6011,1,flattering curvy saw gave lined navy horizontal pictured dressed great go curvy different,0,0.308333333
6012,1,ordered usual small,1,0.15
6013,1,good normal,0,0.416666667
6015,1,perfect ended flattering little thin worn,2,0.265833333
6016,1,great happy high waisted great washed helps shape new comfortable different ripped love ordered perfect,4,0.455862709
6017,0,wanted colored diagonal flattering thought great goes,0,0.28
6018,1,fantastic gorgeous bought,0,0.55
6020,1,gorgeous went ave found take peek called looking red wore adorable flare little makes wearing love went purchased,4,0.2328125
6021,1,cute little weird blousyboxy super think,0,0.102604167
6022,1,great ordered usual fitted fitted ordered pink online shear adorable,0,0.17
6023,1,great much waist defined think run large generous usual tried bought comfortable easy different,0,0.193095238
6025,1,little large beautiful nice bought wanted looks good good got huge ordered large exchanging large,0,0.354258242
6027,1,great gave rose colored get many usual small,2,0.316666667
6028,1,made casual used flattering,0,0.25
6029,1,elegant thought feminine elegant punched attached snag second low showing sure get cardigan nice,0,0.318181818
6030,0,perfect low,0,0.666666667
6031,1,flattering flattering appropriate looks great thin,1,0.41
6032,1,purchased local full lightweight cami underneath due cut low regular full goes bought floral,0,0.198076923
6033,1,tried waiting go worth take,2,0.355555556
6034,1,big bought usual huge sized comfortable frustrating gorgeous think,1,0.141666667
6035,1,great,0,0.766666667
6036,1,adorable ordered go coral flattering go based,1,0.416666667
6037,1,comfortable goes cool comfortable fitted true,0,0.35
6038,1,patterned adorable pleased comfortable pictured,1,0.3
6039,1,much tried multicolored good problematic washing real fit broad high tight forgiving tried wanted made,0,0.08732684
6040,1,nervous trying followed disappointed fitted upperhalf forgiving overall,1,-0.008333333
6041,0,excited loved put disappointed know gone go terrible took said returned disappointed,1,-0.060714286
6042,1,adorable ordered usual orangeblue fit much lightweight hot pink true returned kept appealing little,0,0.2175
6043,1,pink different saturated overall,0,0.1
6044,1,good cardigan pattern beautiful bought second hoping second deep makes flatchested goes,1,0.318181818
6045,1,flattering ordered pleased hoped bought love gathering pulling mystified designed nice,0,0.2
6046,1,great low busty nice blazing hot,1,0.43
6047,1,nice pretty great got medium tiny small fitted great,0,0.335
6048,1,find pictured wide pictured lined varying give neutral,1,0.266666667
6049,1,great layering looking perfect wearing great make layering little different,0,0.30625
6050,1,great bought green complimentary opted,1,0.433333333
6051,0,small purchased purchased full small short returning,0,-0.0375
6052,1,interesting kept different good sure hold washing thin worried give,0,0.225
6053,1,awesome got blue green,1,0.325
6054,1,little tight giving,0,0.156785714
6055,0,loved decided purchased normal took wearing transferred says prewashed disappointed considering expensive overall,2,0.185
6056,1,get amazing large,3,0.271428571
6057,1,say unique sophisticated easy needs silk soft want long,1,0.401041667
6058,1,beautiful ordered felt tts beautiful soft felt soft substantial purchased seems expecting close,0,0.335416667
6059,0,poor made low scratchy returned,0,-0.02
6062,1,adorable goes great cinch fitted worried build,1,0.303125
6064,1,nice cut poncho extra attaching remove practical happy,0,0.6
6065,0,tight tight upper go mean oversized,0,-0.061607143
6066,1,perfect soft,3,0.630555556
6067,1,perfect got medium perfect looks great,0,0.825
6068,1,traveling washing beautiful last bought new,0,0.497727273
6069,0,dry clean according washed dry cleaned washed dried gathered drawstring running disappointed labeling awful gave extra,2,-0.061666667
6070,0,fit small unflattering falling sitting open much adorable open,0,0.155357143
6071,1,looking nice nice comfortable soft flattering think special wanted many decided,0,0.384126984
6072,1,liked sure tried tried seemed big short getting went regular bad think aligned crooked,0,0.116538462
6073,1,makes beautiful soft tricky perfect easy fitting buy right solid bought,0,0.429004329
6074,1,fresh take love come given leave unbuttoned flattering shoulder unique fresh tiny,1,0.109375
6075,1,great comfortable great fit knee average think attractive sure careful got mine,1,0.436363636
6076,1,great soft flattering looks romantic,1,0.29
6082,1,looked tried lb tried decided liked ordered wanted regular,1,0.2
6084,1,goes cut slim find fit create waist cute different flattering nice graphic romantic slip great provides nice visible,0,0.245454545
6085,1,purchased vary purchased collar fit fuzzy nice,0,0.293333333
6086,1,stated stayed usual small keep length got first restocked sold,1,0.202380952
6087,1,nice reluctant thought boxy waisted super soft gave thought going marled,0,0.422916667
6088,1,soft thin looks flattering nice got orange got happy fit soft good expected worn prefer cute,0,0.2
6089,1,great sanctuary similar decided needed green pregnant working available grabbed compared sanctuary,2,0.19537037
6090,1,soft looks great fantastic,0,0.45
6091,1,sexy love athletic little tight looking,1,0.246785714
6092,1,great great,0,0.8
6093,1,beautiful runs small get small bad,0,0.028571429
6094,1,saw local decided xs cant purchased true overall happy,1,0.295641026
6095,1,comfortable great dressed easy,0,0.416666667
6097,0,fell ordered disappointed arrived wrong expecting nice heavy cheap given going,0,-0.012637363
6098,1,good classic tight french seams torso small hipped perspective large odd assuming talking tapered padded,0,0.164087302
6099,0,sure want granny looked put double believe used tried looked wearing ruching seem,0,0.366666667
6100,1,new favorite makes look trying hard stayed,0,0.211174242
6101,1,oldie fantastic dresstunic enhancing want great,0,0.55
6102,1,catching simple comfortable transported psychedelic lightweight purchased petite high fastened single comfortable clear sizing tall,0,0.276507937
6103,1,decided based positive disappointed stylish got match tried second liked tried,1,0.290909091
6104,1,comfortable super comfortable wish different go super,2,0.35
6106,1,continues soft boxy elastic comfortable found similar regular mentioned many hanging upper elastic,0,0.119047619
6107,0,lowering slapping much small pulled returned,0,-0.2625
6108,0,returned soft special,0,0.285714286
6109,1,hard difficult reviewing instant touched wanted worked fit great upper see makes big solid makes makes,2,0.181410256
6110,0,soft tried touched soft preferred right stand said comfortable soft,0,0.077678571
6111,1,flattering hoped flattering,1,0.15
6112,1,great bought small perfect tight adjustable front adjustable wide casual hips great,0,0.210164835
6113,1,described first mexican described looks photo embroidered printed second described elastic,0,0.066964286
6114,0,enormous knew boxy huge got ml going,0,-0.025
6115,0,good bad flattering nice old matted returning,0,0.175
6116,1,warm,0,0.533333333
6117,1,great overall bought small true loved fitted able drawstring waist hot,1,0.29375
6118,0,fuzzy cleaned got grey seems peeled sprayed got come poor,0,-0.003333333
6119,1,great basic need good basic great hippy found fit inbetween goes great tall ordered,1,0.331818182
6121,1,perfect ive looking new,1,0.527272727
6122,1,stunning little vibrant boxy works small great tumble dry washed unique chic gone,2,0.20375
6123,1,fit listened tried small come close tried think designed small seem tall big said cardigan interesting made,0,0.084615385
6125,1,bought fantastic large bought large available fantastic willing great,0,0.430952381
6126,1,true natural,0,0.35
6127,1,cute got,1,0.5
6128,1,wanted keep beautiful nice made great dancing looked looking bad,0,0.355681818
6129,1,new bought small got comfy casual feetperfect substantial cool cal rich bluebeautiful negative say knot squishy,0,0.062373737
6130,0,disappointed beautiful luxe needed flowy aline huge enormous ordered usual small looked shapeless cant,0,0.108333333
6131,1,good wanted accented returned sure substantial great,1,0.254761905
6132,1,great bought usual soft flattering drawstring cute green green different soft pictured,0,0.149
6133,1,soft bought give expanding pregnant trying hide soft wide small large got large given worked normal,0,0.072278912
6134,1,expected excited saw went misleading boxy makes seem formfitting much open shown ordered small exclusive know wanted,0,0.125
6135,1,red pinkish tried regular green happy covered little long ordered bright red shown hard coral went usual tight fine little,0,0.038515406
6137,1,big knew small big decided give little big liked xs keeping looks little loose,1,0.104659763
6138,1,painful first unique look several expensive quotdrapequot second sewn annoying put sewn falling,0,-0.158333333
6139,1,bright looks great many think get,1,0.508333333
6141,1,darling got ml huge large decided short tried cardigan see floral,1,0.262857143
6142,1,beautiful inspired holding mislabeled website inspired piece low appropriate great lining xsmallsmall went small loose,2,0.326500423
6143,0,flattering love overall going go direct nice high pregnant going placed missed,2,0.134217687
6144,0,tapered suggested wide made big doubtful ordered waist nice purchased go high waisted returning,0,-0.023333333
6145,1,love flattering green green muted green complected looks great elastic camouflage wish made blousy elastic bought several new favorite wearing decided remove low,1,0.238311688
6146,1,great think much website decided ordered green wore next good loved ordered flattering stylish comfortable excellent goes,2,0.396666667
6148,1,great grabbed tank green great want runs full go great open entire green,0,0.179166667
6149,1,surprised taking ordering trying happy soft comfortable fit great grabbing making big,0,0.167399267
6150,1,red think,1,0.25
6151,1,great casual casual enough lightweight little baggy normal bought usual seems fit tempted,1,0.176041667
6152,1,comfortable flattering large large loose fit dry dry bought dried quick,1,0.108470696
6153,1,shrink get bought small washed warm dried shorter gets,0,0.141666667
6154,1,comfortable comfortable thin bought bright red red red red true full big,1,0.152708333
6156,1,stop comfortable wearing received many outfit bought whole dresses general hard thrilled thrilled,2,0.274503968
6157,1,loved cute soft ordered usual fit fine liked,1,0.221666667
6158,1,great perfect traveling great noted buy regular little fitted,0,0.401785714
6159,1,found little carries wonderful got piece,2,0.324166667
6160,1,great casual great give carful similar intertwined first got pulled cautious comfortable super casual happy,0,0.269747899
6161,1,thanksgiving wearing thanksgiving want perfect casual enough small boned xs,0,0.338333333
6162,1,comfortable comfortable ordered,1,0.4
6163,1,soft purchased small buy petite long runs true soft tapered,0,0.137179487
6164,1,perfect went tried instant go found purchased go many,1,0.419047619
6165,1,perfect took large large tried sure,0,0.41984127
6166,1,makes trying looooooove offcentered left ocd love adds creating pleasing,0,0.255102041
6167,1,casual stylish favorite faux gives fitted,0,0.26
6168,1,bought perfect catching low sophisticated,2,0.478571429
6169,1,great transitional soft appealing great appear wearing tucked untucked requires layering,0,0.55
6170,1,sweet little adds wish great,0,0.260416667
6171,1,ordered big willing go extra soft rich altered know fit complete,0,0.286538462
6172,1,flattering seem tuckedin rpetty neutral soft tried wondering trying petite,0,0.166666667
6173,1,loved purchased nice surprised loved next looked unique,1,0.480555556
6175,1,see beautiful pressed go recent textured give flow untucked ashaped tucked neat metallic painted elegant casual dressed,0,0.335714286
6176,1,gorgeous great neckline allow tunic tucked,0,0.458333333
6177,1,looking great perfect happy,0,0.866666667
6178,1,elegant tried last textured sheen vibrant subtle bow loves tying bow shown go took,0,-0.027777778
6179,1,big adorable soft wanted big sized gave cutejust returning,5,0.1875
6180,0,adorable said large loved big adjustable low standing small short bending tall average ordered small,1,0.090306122
6181,1,eyeing want full got happy super soft baggy,2,0.583333333
6182,1,flattering tried flattering soft constricting small small big special tried several loose hanging puckered loved expect,0,0.085521978
6183,1,high find,2,0.4775
6184,1,surprised soft little worried classy great looks disappointing great great,3,0.1375
6185,1,soft expected soft flattering light freezing,0,0.213333333
6186,1,tried lining much main diagonal middle see pronounced appears sewed sloppy obvious much,0,0.037037037
6187,1,gorgeous large received beautiful returning large purchased large read sizing ordering sold,0,0.337698413
6189,1,unique love found true large extra large large gigantic bought find navy casual open nice found,0,0.147704082
6190,1,gorgeous amazing purchased regular perfect,0,0.52
6191,1,beautiful gorgeous exceptional soft made busty thank gorgeous,5,0.651851852
6192,0,huge looked nice looked,1,0.175
6193,1,,0,0.5
6194,1,,4,0.5
6195,1,gorgeous got decided want stylish obsessed single makes happy,0,0.317857143
6196,1,unique go bustling small chested bohemian classic contemporary great wore patterned grey camisole short free love,0,0.286309524
6197,1,purchased small gone wanted much liked regular supposed,0,0.258333333
6198,1,extra makes look hiding little secret done go see worn,1,0.008928571
6200,0,ordered shipped wrong got small run rounded busted high,1,0.028928571
6201,1,beautiful comfortable soft lined adjustable comfortable goes love ordered big,4,0.443055556
6202,0,nice loved flowing got give hoped returned,1,0.5
6203,1,simple ive looking great long preferred warm dressed,1,0.28960114
6204,1,bright happy amazing plentiful generous bad adds loose fitting got small difficult getting getting solo makes look good,2,0.219978632
6205,0,cute nice felt small normal,1,0.117346939
6206,1,great see thru tell wish little got going keep,0,0.278125
6207,1,great great adjustable dressed got,3,0.3875
6208,1,huge gorgeous low broad shouldered narrow exposing unflattering gorgeous say narrow shouldered give,1,0.1078125
6209,0,large big wearing get stick ironing comfortable paid full,0,0.221088435
6210,1,see try small,0,0.227777778
6211,0,executed big vest ended ruining pulling front drawing neckline agree previous worn loose thought large overall,0,0.052956567
6212,1,hidden awesome great used big,1,0.408333333
6213,1,fitted cute given arrived wearable folded requiring washing ironing worried,1,0.333333333
6214,1,great made great think arm large,0,0.352380952
6215,1,gorgeous wish tailored looks fit returned,0,0.533333333
6216,1,traditional new great,0,0.359090909
6217,1,nice large good,0,0.360714286
6218,1,cute great light free flowing small busted affected dressed whimsical,1,0.081746032
6219,1,surpassed high waisted stopped counting excited ish think get use next,1,0.139166667
6220,1,romantic front love long wide soft makes beautiful aware requires comfortable sized tried normal,1,0.271875
6221,1,small several fit great ended little tight make going,1,0.163293651
6222,1,great tunic decided hit local adorable runs usual small busted bought perfect happy,4,0.281481481
6224,1,stylish comfortable comfortable put stylish great running good,0,0.522222222
6225,1,favorite hesitant makes think paris soft comfortable different took used see getting worn hot southern ive great long,1,0.3
6226,1,runs large,1,0.404761905
6227,1,classic saw tried unique looks awesome cropped hit added different odd,0,0.275
6228,1,whered go hey go cute belt matching attached pant lose bought yellow put fit,1,0.358333333
6229,1,wanted worried ordering previous suggested run small find think true,0,0.050952381
6230,1,versatile casual cuffed lightweight comfortable bought short slipping low fitting pant fit local ordered try ordering,0,0.162900641
6231,1,tried loved great transitional rich need,1,0.479166667
6232,0,much liked swimming much felt heavy returned,0,0.2
6233,1,ive looks good,3,0.8
6234,1,adorable impressed added styled ada looks great jean make chic,0,0.475
6236,1,jumped sized small seemed loose beautiful tried need looks much said,0,0.290384615
6237,1,love great thickness nice smooth jean nice used fitted big enjoyed wearing fabulous,2,0.431818182
6238,1,owned big,2,0.5
6239,1,saw local tried super whole ran next left flattering polished looked based telling,0,0.103333333
6240,1,soft pictured snowy mean unattractive makes casual hoping dressy super pictured expect fitted bottom,0,0.033854167
6241,0,large large purchased comfortable returned,0,0.329761905
6242,1,soft great looks embroidery adds nice happy gives nice lean found choose keep ordered,1,0.351388889
6243,1,perfect great great combined slit makes preventing looking bad,2,0.227314815
6244,1,big whole huge ordered small loved colordesign hopeful,1,0.207142857
6245,1,good weight tried bought took tried thrilled see worn gear tall thin,0,0.3
6246,1,fantastic bulging substantive pulling bulging weird gathering know means true highheeled kitten cant easy see willing,2,0.229166667
6247,1,comfortable many got got,2,0.41875
6248,1,adorable want small went small,1,0.3
6250,1,comfortable sure stripe little gaping mentioned bought arm think small fit good,0,0.324821429
6251,1,nice big great,0,0.575
6252,1,oh sweet referenced online went local turned delightful say true tunic high possible designed hit flat,1,0.320064935
6253,0,dangerous rip upholstery nice ruined sharp made deep bad,0,-0.078125
6254,1,striking got expected arm little large low,1,0.154464286
6255,1,stiff looked boxy modeltailored boxy wore nude put,0,0.117908018
6256,0,much saw local loved tried much substantial find smooth traditional tried found big found,0,0.202142857
6257,1,easy taking wearing fine great,0,0.55
6258,1,adorable great adorable stitching weight fantastic got taupe green came fit true got wanted fitted stretched live fitted,0,0.265530303
6260,1,romantic comfortable great use left flattering,2,0.22
6261,1,love boxy petite floating online beautiful running adds classy great,1,0.45
6262,1,cute stylish bought getting perfect great late next highwaisted flare came detachable took,1,0.316666667
6263,1,new single ive breathable cool hot aware nontraditional think looks flattering smallchested,1,0.273562152
6264,1,new different striped go cant,5,0.147272727
6265,0,wanted made pregnant fine wired front,0,0.256666667
6266,1,beautiful unique beautiful classy,0,0.435
6267,1,great red striped got going many feel little tight full,1,0.325059524
6268,1,ordered online comfortable make interesting,1,0.66
6269,1,gorgeous simple classic thought big ended overall,1,0.286574074
6270,0,flattering fit weird described get flattering returned,0,0.12
6271,1,soft soft ribbed shirttail gives casual great layering give priced high keeping true ordered,0,0.168541667
6272,1,love bought wanted goes many soft comfortable,1,0.4
6273,1,large liked saw elegant covered get ml depending got turned expected made look cute,0,0.138383046
6275,1,love agree bought true,2,0.48
6276,1,simple little bought go online seems thin,0,0.0825
6277,1,gorgeous love beautiful saturated ordered usual,1,0.45
6278,1,beautiful light looking flowy feminine gets cold give little wore got pull able threading unnoticeable know,0,0.13125
6279,1,great nice ordered pictured ive great surprised typical little give able perfect cold little,0,0.198888889
6280,1,unusual bought cardigan loved arrived bought usual small big nice unusual looking soft thin small big,0,0.0875
6282,1,failed shearlinglined failed read decorative small due shearlinglined,0,-0.34375
6283,1,fabulous ordered come usual ordered fine little expected fine made lined,2,0.170833333
6285,1,meant super true want came wrinkled prevented,2,0.505555556
6286,0,nice wore snagged,1,0.1875
6288,0,take snagged disappointed detailed disappointed hoping keep,3,0.097619048
6289,1,gorgeous conscious read previous thought saw disappointed realized thought realized looking happy purchased beautiful bright,0,0.298333333
6290,1,sad loved received lookedfit wrinkled used ironing flattering yellow tricky,0,0.063636364
6292,1,beautiful huge ordered small drowning,1,0.2
6293,1,consider little stunning great great constricting great dancing pleased,1,0.501388889
6294,0,gorgeous wanted awful made make great,0,0.316666667
6295,1,good good casual wrinkled arrived came wrinkle initial loose come overall good good,0,0.255608974
6296,0,awful wrinkled disappointed,0,-0.916666667
6297,1,loved dressy waisted short accentuated good opposed making,2,0.40625
6298,0,wanted unfitted bulky big small small long long say true,1,0.069047619
6299,1,real soft,1,0.4625
6300,1,try ordering fit big looked pregnant,0,0.238888889
6301,1,found beautiful lined say big gave good hit paired embroidered akemi go cropped,0,0.235
6302,1,great great raw sizing run large made,1,0.391684982
6304,1,loved trying outside usual fell looks effortless easy comfortable want casual,3,0.209259259
6306,1,pictured ordered usual tunic short interfered moving petite want go tunic,0,0.02
6307,1,great swing bought wedding noted swing perfect twirling peaking right bright make,1,0.512244898
6309,1,great super small zipped usual tight,2,0.189417989
6310,1,kept warm,0,0.246666667
6311,0,shapeless massive oversized say returned,1,0.02
6313,0,tried terrific lightweight avoid able muted bought says,0,0.35
6314,1,big big fitted,0,0.15
6315,0,found boxy tried thin,0,-0.7
6316,0,looked adorable soft great little busty make fat wearing real large seemed gape flattering cute bad made,0,0.13139881
6317,0,great liked cardigan saw slimming flattering photoopen saw closed pinned saw fantastic tried,0,0.322222222
6318,1,purchased perfect soft southern cute ribbed giving whic,1,0.553968254
6319,1,great cardigan great cardigan excited able runs big small,1,0.2725
6320,1,gorgeous several found great recommended,1,0.4325
6321,1,gorgeous unique ordered happy looks online pale blue navy navy forgiving runs armwise get regular,0,0.220384615
6323,1,unique gorgeous unique given,0,0.4875
6324,1,beautiful detailing small mentioned large counting strapless small busted falling see endowed said,0,0.202040816
6326,1,flattering wanted petite put hte greenish hlding nice many long warm,0,0.305555556
6328,1,heavy ordered blue looked online true uncomfortable blue nice soft returned,0,0.138888889
6329,1,ordered great washing airdrying cut layer neckline comfortable,0,0.4875
6330,0,terrible horrible small thigh great terrible several go worth give different printed u tight,14,-0.207857143
6331,0,big ordered peachy designed,3,0
6332,1,soft super soft underwear sized bought comfortable ended ordering,1,0.277083333
6334,1,great soft beautiful new go,1,0.477272727
6335,1,good liked saw received liked seemed huge tried remove worried snipped,0,0.226041667
6336,1,tried large big ordered shipped,2,0.159183673
6337,0,wanted wearing pull underwear ordered small seems unreasonable soft,1,0.16875
6338,1,lbs fits rolled arrived noticed wrinkled fun casual big poke irritating enough,0,0.06875
6339,1,eyeing surprised hanging local leave make beautiful,2,0.21
6341,0,missed loved hoping worth astronomical missed navy blue whitish light navy huge says,2,0.108333333
6342,1,stylish leave lining perfect stylish beautiful easy big adds nice whole makes,2,0.458333333
6345,1,beautiful beautiful makes elegant tried different nice,0,0.315
6347,1,looking hit large hard large perfect hard perfect silver side hem different,0,0.26452381
6348,1,cute stylish got medium broad wanted little loose threw tshirt light perfect,0,0.336823362
6350,1,great casual wearing comfortable holds blue blue little cute great casual,0,0.136547619
6351,1,beautiful great purchased blue bright adorable close nice small took perfect,0,0.320833333
6353,1,distressed fit nice great depicted fabulous,3,0.347916667
6355,1,saw bought blue comfortable dressed paired casual large,0,-0.014642857
6356,0,beautiful big big got pxs big disappointed wanted,1,0.172222222
6358,0,cute small wish carried bathing tried ordered returned bathing much,0,0.19
6359,1,super stylish arrive looks great stylish adds little flair simple worn several looking great,0,0.314583333
6360,1,gets right modern lend many styling paring great going run small stitching make expensive bought blue saw local,0,0.133516484
6361,1,high flattering blue bold strong neutral different,0,0.203809524
6364,1,great got planning dressed ive said long able trim perfect love,2,0.454761905
6365,1,stylish see looks stylish stretchy sure,0,0.378571429
6366,1,beautiful wrong disappointed going muted right,0,0.276190476
6367,1,adorable high high dressed flattering sizing run small normal tight little,0,0.168538961
6368,1,let fit petite weigh short little said ordered tight regular cropped ordered wanted,1,0.204846939
6369,1,beautiful unique gorgeous short,3,0.4875
6370,1,comfortable runs large able great great,0,0.542857143
6372,1,stunning gorgeous seen liked spotted local searching perfect found goes swallow,3,0.364285714
6373,1,wish liked called local small small decided writing pictured,0,0.141666667
6376,1,great runs small substantial deep snug kept oversized,0,0.134642857
6377,1,classic,0,0.555555556
6378,1,nice tried regular lbs gives victorian nice flattrering alining seethrough need loosefitting fitted,0,0.160416667
6379,1,gorgeous stared long went tried beautiful looking fit long taking many dressed,0,0.324761905
6380,0,beautiful disappointed,0,0.0125
6381,1,unique loved received ordering online looks great made,2,0.491666667
6385,1,love able looks cap got many,1,0.4
6386,1,adorable going tuck flare lay tucked super tiny ordered fastened sucking struggling ill exchanging small,1,0.123333333
6388,0,measured dragging go pulled hemmed,1,0.2375
6389,1,great fit small skinny sizes give valid stonewashing seem little linear think intentional,0,0.134722222
6390,0,sitting frumpy standing turns frumpy,1,0.225
6391,1,everyday great everyday bought cute little boxy makes much want available found knee ive received several,0,0.149621212
6392,1,go lbd little lbd rich laid wearing purchased tried little snug,2,0.187037037
6393,1,great purchased dressed,1,0.5
6394,1,flattering amazing high waisted small say,1,0.31
6395,1,unique super comfortable great layered ordered small large trying returning id needed seems used running big,0,0.220634921
6397,1,love love received many xs fit comfortable wearing dressing updown,2,0.454166667
6398,1,flattering athletic excited arrive removed loved pictured ordered concerned small short huge long wide make certain petite,0,0.171236264
6399,1,looking wearing hawaii great soft,0,0.311111111
6400,1,stunning stunning detailed got weight high little aline perfect lean want,1,0.210821429
6401,1,great lbd beautiful little little weight take large straight large good high got great,0,0.337397959
6402,1,great looking carribean substantial called constructed nice short tried run large sized trying,2,0.152678571
6404,1,loves lace true knee tall lighten little said hemmed hem makes heavy,1,0.131018519
6405,1,adorable unique scandalous beautiful run big,1,0.3075
6407,1,tight petite great,0,0.218571429
6408,1,elegant ordered last slipped made tunic great crochet neckline little sexy comfortable short happy,2,0.366504329
6410,1,printed looking found left squeeze full meant keep,6,0.25
6411,1,great light great green nice detailing adds,0,0.441666667
6412,1,awesome happy casual,0,0.433333333
6413,1,made think chic due reaching come combined wearing lynn floral paired layered got want first,1,0.145
6415,1,flattering aware lightweight lining great need ironing high feel funny flattering true decided keep,0,0.32
6416,1,bought know last short,0,0.29047619
6417,1,excited decided big wanted long short bought strange narrow little strange,1,0.061201299
6418,1,stunning small loved classy tight depending zipped go unavailable,0,0.083928571
6419,1,debating tried petite loved nut,0,0.55
6420,1,short warm nice alternative,0,0.155102041
6421,1,great unique fitted poofs fit,0,0.415
6422,1,pink xl fit great ordered mixed true detailing outstanding collected last visited san wish green comfortable,0,0.188461538
6423,0,disappointing deep made think curved attracted discovered arrived worn misleading actual open tacked,0,-0.02032967
6424,1,adorable bought worried said wearing wide small purchased,0,0.101923077
6425,1,nice thought lined think lining typical liked available fit little tight short,0,0.13772619
6426,1,great fit little stiff able fine little,2,0.236375661
6427,1,soft looks online bought small comfortable suggest usual small dresses great rusty large soft soft,0,0.169157509
6428,1,fabulous offered many perfect layering,0,0.45
6429,0,impressed high basic lined underwhelmed,0,0.415
6430,1,love bought gray appears online previous find wool,1,0.006666667
6431,1,small small small large able returned little yellow,0,0.015426587
6432,1,gorgeous wellmade true contemporary,0,0.470833333
6433,0,wanted excited arrive major lining leaving puckered weird unflattering beautiful make small,0,0.076136364
6434,1,soft dresses great,2,0.38
6435,1,great made soft lined added,0,0.395238095
6436,1,small small extra small ordered small worried arrived id high bad little uncomfortable give stiff bright unique,0,-0.079770408
6438,0,dear uhm dear stunning decided seemed boxy flattering ive tried great,1,0.183673469
6439,1,see photo special beautiful lightweight perfect snapped goes show certain small needed small,2,0.191904762
6440,1,active bought amazing super great active,4,0.30952381
6441,1,ordered usual perfect thin soft looking,0,0.264285714
6442,1,ordered usual getting middle need make sure undo made favorite ive purchased nice,0,0.303846154
6443,1,great tried usual washed made get wished,0,0.38
6444,1,received wine gorgeous dressed ordered great,3,0.541666667
6448,1,surpassed ordered keeping xs fitted ive seen epitome perfect short imagine,3,0.29
6449,1,bought looks suitcase generous full boxed,0,0.37
6450,1,perfect unique ordered petite hem falls upper shown soft think unique great conscious big,0,0.370039683
6451,1,mixed fit interesting good easy required fine little bright made overall busy confused cold seasonal interesting,0,0.178055556
6453,1,cute true beautiful gives sexy touch nice,7,0.588888889
6454,1,great purchased green thin mentioned bulky overall happy,0,0.15
6455,0,bought got gift got large large short waisted,0,0.107142857
6456,1,nice lightweight caught bought light lightweight taking box little concerned tried draped good unique nice casual expect,0,0.176388889
6457,1,perfect,1,0.625
6458,1,layering sure close seems bought great keep fine layering ordered small large worked clingy,2,0.302579365
6459,1,surviving various craving sleeping traveling mediterranean little looked ideal feared reserved single hold conscious curved high,0,0.112633929
6461,1,great little seems made wearing open tied nice alternative,0,0.2078125
6462,0,ok soft felt thick small big make want went,0,-0.012962963
6463,1,great purchased blue many opted medium good tight little dressy great going,0,0.341545954
6464,0,said looked straight big looked dumpy arrived going,0,0.04
6465,0,ordered good overall liked light red overlooked available returned,0,0.266666667
6466,1,casual green true smocking casual,0,0.111111111
6468,1,comfortable dressed,1,0.444444444
6470,1,light delicate flattering bought light red attractive dressed looking worn,0,0.12
6471,1,adorable grabbed couple heading looked large wanted large want go normal liked little fitted ended getting small delicate stick little funny,1,0.199064626
6472,1,soft soft said fleshcolored fine casual natural detailed stitching petite passed,0,0.159722222
6473,1,stylish got medium agree prior regarding little snug looking,0,0.280357143
6474,1,great outerwear beautiful large want fit little tailored,0,0.327040816
6475,1,beautiful understated thin,0,0.429166667
6476,1,large small ordered kept run small fitted decided looked ok find scratchy pink nude washed flat,1,-0.136375661
6479,1,great soft,1,0.458333333
6480,1,lightweight got good,0,0.7
6482,1,adds great,0,0.2
6483,1,soft stylish soft perfect casual,0,0.38125
6484,1,unexpected first looks blue bad liked disappointed arrived blue looked paid unreliable everyday tend,0,-0.077777778
6485,1,great purchased great long perfect strange seemed random buy green,1,0.31
6486,1,beautiful pattern nice want looks flattering wide striking bold garish low plunging camisole underneath want go purchased,3,0.372564103
6487,1,soft new go great transitioning detailing oh soft,0,0.356060606
6490,1,amazing fabulous flattering good happy,2,0.625
6491,1,graphic handled adored fit handled thin made mismatched large looked sloppy placed breast different looked sloppy wrong want bad,0,-0.202380952
6492,1,great little tried wanted purchased extra nice soft made nice adorable lining lining peak boxy think great,0,0.33625
6493,1,great expected dressed,3,0.44
6494,1,olive green militaryish think ive found great coolrose give riding fitted verging ordered trim recent keeping perfect,6,0.144372294
6495,1,ordered found kneeled big little loose geometric,0,0.033653846
6496,1,flattering undress fits great flattering athletic due wide perfect,2,0.248717949
6497,1,gorgeous bought navy stunning flattering,0,0.511111111
6498,1,perfect adorable needed lined supportive purchased dressed dry,0,0.390277778
6499,1,afraid need bra droppy fine wide nice geometric classic goes,0,0.12989418
6500,1,ordered usual used ot good nice coloring legs great going,0,0.258333333
6501,1,super loved ordered make sure ended want placed flattering,0,0.242424242
6502,1,beautiful dubious low made coming washed scared super,0,0.201190476
6503,1,fantastic ordered shade comfortable patterned makes extra cute extra soft washed using ordered navy ive great shedpilled wellmade useful,1,0.233333333
6505,1,fit waist perfect adorable,2,0.545238095
6507,1,wearing met complimented wearing navy red geometric realized said legs wide tried forgot little,0,-0.010833333
6508,1,nice bought assuming bought perfect regular finding fit big fitted nice looking durable,0,0.24
6510,1,much special due lining peek interesting underlayment worked offset make whole casual washed,0,0.233184524
6511,1,great fits great,1,0.65
6512,0,flattering loved flattering received ordered athletic made waist flared expected much,0,0.1625
